UHAL,4.86,7.2314,93.63,Hold
WFG,6.24,8.9271,7.2,Buy
OPRA,0.82,18.7200,0.83,Buy
FWONK,1.1,33.1000,42.42,Buy
ADC,1.71,19.0733,43.53,Buy
VRA,0.7,16.6937,33.65,Buy
ATSG,2.05,5.0302,109.28,Buy
LRN,3.72,8.5250,57.41,Buy
BL,1.77,1037.4173,696.07,Hold
RLYB,-2.1,-0.8737,0.34,Buy
CI,28.28,10.7275,71.9,Buy
MASS,-1.12,-1.8838,3.91,StrongBuy
INDI,0.17,-9.2047,44.68,Buy
CMI,19.46,9.3841,73.61,Buy
CAMT,2.22,33.0335,46.03,Buy
MBC,1.44,6.2719,79.2,Buy
LNN,6.38,10.5459,31.26,Hold
RNGR,1.79,4.0673,11.46,Hold
NVMI,5.13,20.5440,36.74,Buy
CSX,2.03,10.3044,150.82,Buy
VRCA,-1.02,-5.3007,2.49,Buy
CVAC,-0.95,-6.2333,6.24,Buy
CORT,0.93,30.3614,0.07,Buy
LSXMK,3.24,9.3080,105.12,Buy
PTC,5.06,32.3802,74.39,Buy
MRNA,-5.09,38.7514,6.89,Buy
NSRGY,0,19.9675,161.87,StrongBuy
SPWR,0.23,67.7896,84.47,Hold
AMSWA,0.48,22.7970,0,StrongBuy
MX,-0.45,-6.4718,1.49,Buy
DEO,5.65,289.2964,186.47,Buy
EH,-0.43,-3.6110,105.6,Hold
HRT,1.33,9.3515,144.35,Buy
FRGI,0.68,17.3047,110.48,Buy
TMUS,9.92,9.7407,177.26,Buy
LAUR,1.2,7.0944,63.73,Buy
EQR,1.69,18.4125,66.97,Hold
AMPL,0.11,-12.3353,3.12,Hold
CAE,1.13,13.7995,72.45,Buy
BKR,2.02,12.0565,43.97,Buy
SWX,3.1,9.8118,156.17,Buy
VCYT,-0.35,-278.2460,1.39,Buy
NX,2.38,7.0330,29.7,StrongBuy
SIRI,0.33,10.0842,0,Hold
RDY,3.56,0.2605,5.11,Buy
BSIG,1.91,8.0596,6458.33,Hold
ATEN,0.94,16.6808,9.93,Buy
HCAT,0.16,-8.1014,64,Buy
SGRY,1.01,16.2411,87.6,Buy
KALV,-2.45,-2.4796,5.73,StrongBuy
HCKT,1.69,12.0042,75.53,Buy
HSIC,5.72,12.2222,37.59,Hold
AMKR,2.27,4.2671,34.95,Buy
AKYA,-1.2,-3.4105,105.24,Buy
CHCT,1.02,19.4733,73.65,StrongBuy
CVNA,-2.52,-23.5982,0,Hold
IPAR,5.09,17.4842,23.89,Buy
CRBU,-1.86,-2.5773,10.11,Buy
NFG,5.84,5.9560,85.91,Hold
GILD,6.77,9.2717,119.68,Buy
ALE,4.1,13.1503,53.55,Hold
LNT,3.08,14.0760,140.05,Buy
OPI,-0.43,9.1266,189.98,Hold
YUM,5.92,19.8311,0,Buy
SMTI,2.87,-43.9576,5.01,Buy
CERT,0.47,24.1895,27.8,Buy
COLM,5.32,8.5652,19.62,Hold
ORAN,1.2,5.3189,134.95,Sell
LNG,10.82,4.3725,433.64,Buy
EPAC,1.35,12.6144,69.71,Hold
TH,1.02,5.2133,78.72,StrongBuy
ACLX,-2.82,-6.5301,31.89,StrongBuy
CRNC,1.36,-48.5005,41.99,Hold
TGTX,-0.01,-8.4937,269.49,Buy
AGR,2.35,13.7853,51.46,Hold
MORF,-4.28,-13.2783,0.43,Buy
PNT,-0.87,3.5837,1.29,Buy
PETS,0.53,171.4530,1.75,Buy
ACCD,-1.41,-9.5491,69.44,Buy
GPI,40.46,6.3925,145.28,Buy
VAC,10.83,9.4910,207.67,Buy
AXL,0.8,4.8476,462.41,Hold
ALTR,1.15,665.4234,54.4,Buy
NBIX,4.8,32.2782,14.92,Buy
PTSI,2.2,4.0641,74.3,Hold
NWN,2.78,8.7802,133.52,Buy
CF,6.8,4.2815,38.08,Hold
FIZZ,1.97,19.2744,9.9,Sell
KMI,1.21,10.8503,99.59,Hold
FTI,1.09,15.3919,75.38,Buy
HVT,4.06,5.4165,70.56,StrongBuy
RVMD,-3.46,-8.3748,6.8,Buy
PCVX,-3.67,-11.5897,1.06,StrongBuy
OC,13.78,6.6676,64.42,Buy
OGN,4.59,7.7703,0,Hold
AWK,5.13,17.7677,126.41,Buy
CDNA,-0.78,-2.8849,8.98,Buy
QCOM,8.57,9.4719,74.72,Buy
CPB,3.25,9.5735,128.01,Hold
RXST,-1.44,-17.6614,14.89,Buy
PAX,1.47,13.0775,2.83,Buy
HMC,3.07,2.0601,71.12,Buy
AVTE,-2.65,-3.4176,0.6,StrongBuy
WING,2.52,45.6714,0,Hold
AVT,6.64,5.8290,69.47,Hold
GWRS,0.24,18.0298,241.15,StrongBuy
DDS,30.76,4.1143,32.28,Hold
LBPH,-2.03,-1.6819,1.01,Buy
SHLS,0.88,33.6692,40.47,Buy
VIV,0.7,1.7862,26.75,Buy
MUR,5.9,4.0661,50.24,Buy
BBIO,-2.86,-12.1990,0,Buy
ASR,17.36,0.7771,28.2,Hold
AVTR,1.23,13.7283,117.42,Buy
AMRK,5.07,6.9749,115.3,Buy
INGR,9.59,8.0837,71.71,Buy
U,1.11,-27.9131,78.3,Buy
DVAX,0.09,9.6331,44.67,Buy
NMIH,3.99,5.8086,23.39,Buy
VIAV,0.78,15.7739,113.09,Buy
OPCH,1.22,20.1971,78.85,StrongBuy
TSE,0.11,-192.5637,11271.23,Buy
TSN,3.05,9.9874,49.29,Hold
PLUG,-0.53,-6.7872,25.96,Buy
OCUP,-0.41,2.4368,0,Buy
SYNH,4.02,12.3116,82.87,Hold
CMPO,1.19,7.5302,0,Buy
ALGM,1.61,20.2099,4.51,Buy
FIGS,0.13,32.9372,6.2,Hold
NOMD,1.86,9.5989,84.66,Buy
OVV,7.83,3.8007,76.09,Buy
GE,4.33,13.6312,73.77,Buy
FI,8.54,13.2957,75.53,Buy
LEA,16.34,6.9183,69.45,Hold
DESP,0.58,8.6951,72,Buy
OEC,2.73,6.5716,208.19,Buy
CCEP,4.32,13.2996,154.43,Buy
MRNS,-2.43,-2.2515,186.89,Buy
DRVN,1.14,11.9251,236.44,Buy
META,16.71,17.2537,27.59,Buy
ALLE,7.12,14.0127,193.53,Hold
TARS,-4.95,-3.8872,16.95,StrongBuy
ETD,3.4,4.9544,27.8,Buy
KOF,6,1.6446,59.19,Buy
MG,0.61,7.6467,121.65,StrongBuy
AM,0.95,11.4051,153.58,Hold
PHAT,-4.9,-4.6177,1246.52,Buy
AMAT,7.84,14.8719,40.41,Buy
OLP,0.65,14.7724,135.59,Hold
CRMT,7.41,20.7516,153.55,Hold
MODN,1.17,-7421.7360,282.02,Buy
LBRDA,7.99,57.3258,45.48,Buy
CODI,2.12,10.7697,137.33,Buy
APP,1.3,21.3434,215.2,Buy
BEAM,-5.66,-2.4986,21.82,Buy
AR,2.61,4.5341,67.31,Hold
CWH,2.25,10.7832,1411.51,Buy
FLR,2.64,26.4350,50.56,Buy
ANET,6.8,28.9312,0.88,Buy
SHYF,1.01,8.9036,40.41,Buy
PPTA,-0.51,-6.2204,0.11,Buy
PRVA,0.29,162.9433,1.7,StrongBuy
SMLP,1.7,10.5821,174.08,Hold
SAFE,1.55,21.8499,177.59,Buy
AKR,0.09,24.9527,82.06,Hold
ALB,23.38,6.6315,36.32,Buy
KELYA,2.07,6.4606,5.36,Buy
KROS,-5.26,-5.4114,4.28,StrongBuy
LII,18.17,19.0933,2878.28,Hold
STAA,1.17,62.7517,9.19,Buy
NCNO,0.54,-163.8573,6.21,Buy
RPT,-0.03,17.9452,90.67,Hold
DOC,0.24,16.2122,70.74,Hold
PLYA,0.53,8.3100,159.14,Buy
AVTA,0.89,23.6790,75.91,Buy
SSD,8.66,12.2752,39.86,Buy
GXO,3.13,15.1430,144.65,Buy
GTES,1.34,8.7165,79.64,Buy
